Temperature (°C),Humidity (%),Paper Sensor Value
25.80,46.00,1014
25.80,46.00,1013
25.80,46.00,1014
25.80,46.00,1013
25.80,46.00,1014
25.80,46.00,1012
25.80,46.00,1014
25.80,46.00,1013
25.80,46.00,1012
25.80,46.00,1013
25.80,46.00,1014
25.80,46.00,1012
25.80,46.00,1014
25.80,46.00,1011
25.80,47.00,1012
25.80,47.00,1014
25.80,47.00,1013
25.80,47.00,1015
25.80,47.00,1012
25.80,48.00,1012
25.80,49.00,1013
25.80,49.00,1013
25.80,49.00,1015
25.80,50.00,1014
25.90,51.00,1014
26.20,52.00,1012
26.20,53.00,1013
26.20,54.00,1015
26.20,56.00,1013
26.20,58.00,1014
26.20,60.00,1013
26.20,62.00,1014
26.20,65.00,1013
26.20,69.00,1014
26.20,71.00,1014
26.20,73.00,1013
26.70,76.00,1012
26.70,79.00,1013
26.70,81.00,1013
27.10,84.00,1014
27.10,86.00,1012
27.60,89.00,1011
27.60,90.00,1021
27.60,92.00,1021
28.00,92.00,1023
28.00,93.00,1023
28.50,94.00,1023
28.50,95.00,1023
28.90,95.00,1023
28.90,96.00,1023
29.30,98.00,1023
29.30,98.00,1023
29.80,98.00,1023
29.80,98.00,1023
29.80,98.00,1023
29.80,98.00,1022
30.20,98.00,1023
30.20,98.00,1023
30.20,98.00,1023
30.20,98.00,1022
30.20,98.00,1023
30.20,98.00,1023
30.20,98.00,1023
30.20,98.00,1023
30.20,98.00,1022
30.20,98.00,1022
30.20,98.00,1023
30.20,98.00,1023
30.20,98.00,1023
30.20,98.00,1023
29.80,98.00,1023
29.80,98.00,1021
29.80,98.00,1023
29.80,98.00,1023
29.80,98.00,1023
29.40,98.00,1022
29.30,98.00,1023
29.30,98.00,1023
29.30,98.00,1023
29.30,98.00,1023
28.90,98.00,1023
28.90,98.00,1023
28.90,98.00,1022
28.90,98.00,1022
28.50,98.00,1023
28.50,98.00,1022
28.50,98.00,1023
28.50,98.00,1023
28.50,98.00,1023
28.00,98.00,1023
28.00,98.00,1023
28.00,98.00,1023
28.00,98.00,1023
28.00,98.00,1023
28.00,98.00,1023
27.60,98.00,1022
27.60,98.00,1023
27.60,98.00,1023
27.60,98.00,1022
27.60,98.00,1021
27.60,98.00,1023
27.60,98.00,1023
27.40,98.00,1021
27.10,98.00,1023
27.10,98.00,1022
27.10,98.00,1022
27.10,98.00,1022
27.10,98.00,1023
27.10,98.00,1023
27.10,98.00,1023
27.10,98.00,1023
27.10,97.00,1023
27.10,97.00,1023
27.10,97.00,1023
26.70,97.00,1022
26.70,96.00,1023
26.70,96.00,1022
26.70,96.00,1022
26.70,96.00,1023
26.70,96.00,1023
26.70,95.00,1023
