Temperature (°C),Humidity (%),Paper Sensor Value
25.30,41.00,914
25.30,41.00,919
25.30,41.00,919
25.30,41.00,911
25.30,42.00,914
25.30,42.00,914
25.30,42.00,70
25.30,42.00,0
25.30,42.00,152
25.30,42.00,0
25.30,42.00,160
25.30,43.00,0
25.30,43.00,147
25.30,43.00,70
25.30,43.00,0
25.30,43.00,144
25.30,44.00,0
25.30,44.00,153
25.30,44.00,0
25.30,44.00,921
25.30,45.00,966
25.30,45.00,966
25.30,46.00,966
25.30,47.00,967
25.30,47.00,967
25.30,48.00,967
25.30,48.00,965
25.30,49.00,965
25.30,51.00,966
25.30,53.00,965
25.30,55.00,965
25.60,58.00,964
25.80,62.00,965
25.80,65.00,967
25.80,69.00,965
25.80,71.00,965
25.80,73.00,965
25.80,75.00,964
26.20,77.00,965
26.20,80.00,966
26.20,82.00,965
26.20,85.00,963
26.70,88.00,961
26.70,90.00,960
27.10,91.00,984
27.10,93.00,985
27.10,93.00,985
27.20,94.00,986
27.60,95.00,985
27.60,96.00,985
27.60,96.00,985
27.60,97.00,985
27.60,98.00,984
27.60,98.00,986
27.60,98.00,985
27.60,98.00,987
27.60,98.00,986
27.60,98.00,987
27.60,98.00,987
27.60,98.00,988
27.60,98.00,986
27.60,98.00,988
27.60,98.00,987
27.60,98.00,989
27.60,98.00,987
27.60,98.00,988
27.60,98.00,985
27.60,98.00,989
27.60,98.00,987
27.60,98.00,987
27.60,98.00,986
27.60,98.00,987
27.60,98.00,986
27.60,98.00,989
27.60,98.00,987
27.60,98.00,988
28.00,98.00,988
28.00,98.00,985
28.00,98.00,987
28.00,98.00,988
28.00,98.00,987
28.00,98.00,989
28.00,98.00,987
28.00,98.00,988
28.20,98.00,987
28.50,98.00,989
28.50,98.00,987
28.50,98.00,988
28.20,98.00,987
28.00,98.00,987
28.00,98.00,987
28.00,98.00,989
28.00,98.00,988
28.00,98.00,990
28.00,98.00,986
28.00,98.00,989
27.60,98.00,988
27.60,98.00,987
27.60,98.00,986
27.60,98.00,988
27.60,98.00,990
27.10,98.00,987
27.10,98.00,988
27.10,98.00,989
27.10,98.00,989
27.10,98.00,990
27.10,98.00,987
26.70,98.00,987
26.70,98.00,988
26.70,98.00,989
26.70,98.00,986
26.70,98.00,987
26.70,98.00,987
26.70,98.00,988
26.70,98.00,988
26.70,98.00,987
26.30,98.00,990
26.20,98.00,990
26.20,98.00,1014
26.20,98.00,1018
26.20,98.00,1016
26.20,98.00,1014
26.20,97.00,1016
26.20,96.00,1017
26.20,96.00,1017
26.20,95.00,1017
26.20,94.00,1015
26.20,94.00,1015
26.20,93.00,1015
26.20,93.00,1014
26.20,93.00,1017
26.20,92.00,1014
26.20,91.00,1015
26.20,90.00,1015
26.20,89.00,1015
26.20,87.00,1018
26.20,85.00,1015
26.20,85.00,1018
26.20,84.00,1017
26.20,82.00,1016
26.20,81.00,1016
26.20,81.00,1015
26.20,81.00,1014
26.20,80.00,1015
26.20,79.00,1014
26.20,78.00,1016
26.20,77.00,1016
26.20,77.00,1015
26.20,77.00,1016
26.20,76.00,1013
26.20,75.00,1016
26.20,74.00,1016
26.20,73.00,1016
26.20,73.00,1017
26.20,73.00,1016
26.20,72.00,1016
26.20,72.00,1014
26.20,71.00,1017
26.20,71.00,1018
26.20,71.00,1015
26.20,71.00,1017
26.20,70.00,1015
26.20,69.00,1017
26.20,69.00,1015
26.20,69.00,1016
26.20,69.00,1016
26.20,69.00,1016
26.20,69.00,1016
26.20,68.00,1016
26.20,68.00,1016
26.20,67.00,1015
26.20,66.00,1017
26.20,66.00,1015
26.20,66.00,1014
26.20,65.00,1014
26.20,64.00,1016
26.20,64.00,1016
26.20,63.00,1015
26.20,63.00,1018
26.20,62.00,1017
26.20,62.00,1016
26.20,61.00,1015
26.20,61.00,1017
26.20,60.00,1018
26.20,59.00,1013
26.20,59.00,1015
26.20,59.00,1015
26.20,59.00,1015
26.20,59.00,1016
26.20,59.00,1016
26.20,58.00,1015
26.20,58.00,1016
26.20,58.00,1017
26.20,58.00,1016
26.20,58.00,1016
26.20,58.00,1016
26.20,58.00,1016
26.20,58.00,1016
26.20,58.00,1015
26.20,57.00,1015
26.20,57.00,1016
26.20,57.00,1015
26.20,57.00,1016
26.20,56.00,1016
26.20,56.00,1016
26.20,56.00,1016
26.20,56.00,1016
26.20,56.00,1016
26.20,56.00,1015
26.20,55.00,1016
26.20,55.00,1018
26.20,54.00,1015
26.20,54.00,1017
26.20,54.00,1016
26.20,54.00,1015
26.20,54.00,1015
26.20,54.00,1016
26.20,54.00,1017
26.20,54.00,1017
26.20,54.00,1018
26.20,54.00,1016
26.20,54.00,1018
26.20,54.00,1016
26.20,54.00,1016
26.20,54.00,1017
26.20,54.00,1016
26.20,53.00,1016
26.20,53.00,1017
26.20,53.00,1015
26.20,53.00,1016
26.20,53.00,1016
26.20,53.00,1015
26.20,53.00,1017
26.20,53.00,1016
26.20,53.00,1018
26.20,53.00,1016
26.20,53.00,1017
26.20,53.00,1016
26.20,52.00,1017
26.20,53.00,1016
26.20,53.00,1018
26.20,53.00,1015
26.20,53.00,1016
26.20,53.00,1017
26.20,52.00,1015
26.20,52.00,1015
26.20,52.00,1017
26.20,52.00,1015
26.20,52.00,1016
26.20,51.00,1014
26.20,51.00,1016
26.20,51.00,1016
26.20,50.00,1017
26.20,50.00,1017
26.20,50.00,1017
26.20,50.00,1017
26.20,50.00,1015
26.20,50.00,1017
26.20,50.00,1017
26.20,50.00,1016
26.20,50.00,1017
26.20,50.00,1018
26.20,50.00,1016
26.20,50.00,1015
26.20,49.00,1015
26.20,49.00,995
26.20,50.00,993
26.20,50.00,996
26.20,50.00,994
26.20,50.00,994
