Temperature (°C),Humidity (%),Paper Sensor Value
26.20,65.00,1010
26.20,66.00,863
26.20,67.00,595
26.20,68.00,1023
26.40,69.00,525
26.50,69.00,1023
26.70,69.00,713
26.70,69.00,812
26.70,70.00,991
26.70,70.00,552
26.70,70.00,1023
26.70,71.00,529
26.70,71.00,1023
26.70,72.00,753
26.70,72.00,708
26.70,73.00,1023
26.70,73.00,473
26.70,75.00,1023
26.70,77.00,774
26.70,79.00,647
26.70,81.00,1023
27.10,83.00,573
27.10,85.00,986
27.10,88.00,951
27.60,90.00,638
27.60,91.00,1023
28.00,92.00,746
28.50,93.00,983
28.50,94.00,1005
28.90,95.00,771
29.00,96.00,1023
29.30,98.00,866
29.80,98.00,930
29.80,98.00,1023
29.80,98.00,821
30.20,98.00,1023
30.20,98.00,1011
30.80,98.00,868
30.80,98.00,1023
30.80,98.00,963
30.80,98.00,922
30.80,98.00,1023
30.80,98.00,898
30.80,98.00,1023
30.80,98.00,1010
30.70,98.00,904
30.20,98.00,1023
30.20,98.00,912
30.20,98.00,1001
30.20,98.00,1023
29.80,98.00,890
29.80,98.00,1023
29.80,98.00,999
29.80,98.00,910
29.30,98.00,1023
29.30,98.00,984
29.30,98.00,902
29.30,98.00,1023
28.90,98.00,983
28.90,98.00,898
28.90,98.00,1023
28.90,98.00,990
28.50,98.00,887
28.50,98.00,1023
28.50,98.00,1023
28.50,98.00,877
28.10,98.00,1023
28.00,98.00,1023
28.00,98.00,874
28.00,98.00,1015
28.00,98.00,1023
28.00,98.00,861
28.00,98.00,1023
27.60,98.00,1023
27.60,98.00,848
27.60,98.00,1023
27.60,98.00,973
27.60,98.00,863
27.60,97.00,1023
27.60,97.00,932
27.20,97.00,871
27.10,96.00,1023
27.10,96.00,920
27.10,96.00,864
27.10,96.00,1023
27.10,96.00,926
27.10,96.00,834
27.10,96.00,1023
27.10,95.00,959
27.10,95.00,816
27.10,95.00,1023
27.00,94.00,967
26.70,94.00,813
26.70,94.00,1023
26.70,94.00,915
26.70,94.00,853
26.70,93.00,1004
26.70,93.00,998
26.70,93.00,946
26.70,93.00,1023
26.70,93.00,960
26.70,93.00,995
26.70,93.00,923
26.70,92.00,811
26.70,92.00,1023
26.70,91.00,803
26.70,91.00,941
26.70,90.00,1023
26.70,90.00,740
26.70,89.00,1023
26.70,89.00,953
26.70,89.00,757
26.70,88.00,1023
26.70,87.00,846
26.70,86.00,839
26.60,86.00,1023
26.40,85.00,752
26.30,85.00,964
26.20,85.00,1023
26.20,84.00,699
26.20,84.00,1023
26.20,83.00,966
26.20,82.00,725
26.20,81.00,1023
26.20,81.00,769
26.20,81.00,917
26.20,81.00,1023
26.20,81.00,661
26.20,80.00,1023
26.20,80.00,823
26.20,79.00,859
26.20,79.00,1023
26.20,79.00,673
26.20,78.00,1023
26.20,78.00,737
26.20,78.00,1023
26.20,77.00,887
26.20,77.00,839
26.20,77.00,998
26.20,77.00,717
26.20,77.00,1023
26.20,77.00,642
26.20,77.00,1023
26.20,76.00,656
26.20,76.00,1023
26.20,75.00,711
26.20,75.00,1023
26.20,74.00,788
26.20,74.00,931
26.20,74.00,925
26.20,73.00,784
26.20,73.00,1001
26.20,73.00,696
26.20,73.00,1023
26.20,73.00,663
26.20,73.00,1023
26.20,73.00,651
26.20,73.00,1023
26.20,72.00,749
26.20,72.00,956
26.20,72.00,932
26.20,72.00,728
26.20,72.00,1023
26.20,72.00,635
26.20,71.00,1023
26.20,71.00,650
26.20,71.00,1023
26.20,71.00,744
26.20,71.00,960
26.20,71.00,912
26.20,71.00,732
26.20,70.00,1023
26.20,70.00,619
26.20,70.00,1023
26.20,70.00,684
26.20,70.00,1023
26.20,70.00,767
26.20,69.00,883
26.20,69.00,951
26.20,69.00,643
26.30,69.00,1023
26.30,69.00,565
26.40,69.00,1023
26.40,69.00,661
26.40,69.00,809
