Temperature (°C),Humidity (%),Paper Sensor Value
26.20,62.00,538
26.20,62.00,1023
26.20,62.00,541
26.20,62.00,1023
26.20,62.00,541
26.20,61.00,1023
26.20,61.00,553
26.20,61.00,1023
26.20,61.00,576
26.20,61.00,1023
26.20,61.00,615
26.20,61.00,1023
26.20,61.00,661
26.20,61.00,1010
26.20,61.00,713
26.20,61.00,924
26.20,61.00,785
26.20,61.00,783
26.20,61.00,894
26.20,61.00,655
26.20,60.00,993
26.20,60.00,544
26.20,60.00,1023
26.20,60.00,498
26.20,60.00,1023
26.20,60.00,536
26.20,60.00,1023
26.20,60.00,604
26.20,60.00,1023
26.20,60.00,698
26.20,60.00,875
26.20,60.00,737
26.20,60.00,947
26.20,60.00,539
26.20,60.00,891
26.20,60.00,841
26.20,60.00,887
26.20,60.00,912
