Temperature (°C),Humidity (%),Paper Sensor Value
26.20,56.00,88
26.20,57.00,0
26.20,58.00,0
26.20,57.00,0
26.20,57.00,57
26.20,57.00,220
26.20,57.00,581
26.20,57.00,1023
26.20,58.00,1023
26.20,58.00,1023
26.20,58.00,1023
26.20,58.00,878
26.20,58.00,564
26.20,58.00,173
26.20,58.00,0
26.20,58.00,0
26.20,59.00,0
26.20,59.00,42
26.20,59.00,209
26.20,59.00,581
26.20,60.00,1005
26.20,60.00,1023
26.20,61.00,1023
26.20,61.00,1023
26.20,62.00,927
26.20,62.00,501
26.20,63.00,0
26.20,64.00,0
26.20,64.00,0
26.20,66.00,9
26.20,68.00,87
26.20,69.00,380
26.20,71.00,989
26.70,73.00,1023
26.70,75.00,1023
26.70,77.00,1023
26.70,79.00,1002
26.70,81.00,580
27.10,84.00,0
27.10,86.00,0
27.60,89.00,0
27.60,90.00,63
28.00,91.00,647
28.00,92.00,1023
28.50,93.00,1023
28.50,94.00,1023
28.50,95.00,614
28.90,96.00,0
28.90,98.00,0
29.30,98.00,0
29.30,98.00,187
29.80,98.00,1023
29.80,98.00,1023
30.20,98.00,1023
30.20,98.00,943
30.20,98.00,9
30.80,98.00,0
30.80,98.00,0
30.80,98.00,231
30.80,98.00,1023
30.80,98.00,1023
30.80,98.00,1023
30.80,98.00,644
30.80,98.00,0
30.80,98.00,0
30.80,98.00,19
30.60,98.00,661
30.20,98.00,1023
30.20,98.00,1023
30.20,98.00,1023
30.20,98.00,330
29.80,98.00,0
29.80,98.00,0
29.80,98.00,189
29.80,98.00,1023
29.40,98.00,1023
29.30,98.00,1016
29.30,98.00,26
29.30,98.00,0
28.90,98.00,40
28.90,98.00,938
28.90,98.00,1023
28.50,98.00,1023
28.50,98.00,171
28.50,98.00,0
28.50,98.00,123
28.00,98.00,1023
28.00,98.00,1023
28.00,98.00,240
28.00,98.00,0
28.00,98.00,514
27.80,98.00,1023
27.60,98.00,861
27.60,98.00,0
27.60,98.00,88
27.60,98.00,1023
27.60,98.00,1023
27.60,98.00,0
27.60,98.00,0
27.30,98.00,756
27.10,98.00,1023
27.10,98.00,473
27.10,98.00,0
27.10,98.00,577
27.10,98.00,1023
27.10,98.00,581
27.10,98.00,0
27.10,97.00,600
27.10,97.00,1023
27.10,97.00,295
27.10,97.00,0
27.10,97.00,1023
27.00,96.00,1023
26.70,96.00,0
26.70,96.00,16
26.70,96.00,1023
26.70,96.00,1023
26.70,96.00,0
26.70,96.00,23
26.70,95.00,1023
26.70,95.00,1023
26.70,95.00,0
26.70,94.00,82
26.70,94.00,1023
26.70,94.00,808
26.70,94.00,0
26.70,93.00,766
26.70,93.00,1023
26.70,93.00,0
26.70,93.00,216
26.70,93.00,1023
26.70,93.00,204
26.70,92.00,42
26.50,92.00,1023
26.20,91.00,769
26.20,91.00,0
26.20,90.00,997
26.20,90.00,1023
26.20,89.00,0
26.20,89.00,593
26.20,89.00,1023
26.20,89.00,0
26.20,88.00,249
26.20,88.00,1023
26.20,87.00,251
26.20,86.00,37
26.20,85.00,1023
26.20,85.00,873
26.20,85.00,0
26.20,84.00,762
26.20,83.00,1023
26.20,83.00,0
26.20,82.00,238
26.20,81.00,1023
26.20,81.00,249
