Timestamp,Raw_Value,Filtered_Value
14:09:13.332298,2677, 2668.04
14:09:13.432502,2694, 2670.64
14:09:13.532474,2691, 2672.67
14:09:13.632532,2690, 2674.41
14:09:13.732755,2679, 2674.86
14:09:13.832963,2671, 2674.48
14:09:13.932696,2651, 2672.13
14:09:14.033042,2678, 2672.72
14:09:14.132879,2664, 2671.85
14:09:14.232288,2645, 2669.16
14:09:14.332889,2662, 2668.44
14:09:14.432340,2663, 2667.90
14:09:14.532895,2669, 2668.01
14:09:14.632776,2687, 2669.91
14:09:14.732904,2685, 2671.42
14:09:14.832974,2677, 2671.98
14:09:14.933016,2686, 2673.38
14:09:15.032995,2670, 2673.04
14:09:15.132839,2655, 2671.24
14:09:15.232360,2654, 2669.51
14:09:15.332883,2662, 2668.76
14:09:15.433116,2643, 2666.18
14:09:15.532806,2655, 2665.07
14:09:15.632986,2658, 2664.36
14:09:15.732834,2662, 2664.12
14:09:15.833188,2673, 2665.01
14:09:15.932919,2669, 2665.41
14:09:16.033009,2673, 2666.17
14:09:16.133056,2679, 2667.45
14:09:16.233155,2672, 2667.91
14:09:16.332955,2651, 2666.22
14:09:16.433000,2651, 2664.69
14:09:16.533067,2641, 2662.32
14:09:16.633078,2635, 2659.59
14:09:16.733076,2635, 2657.13
14:09:16.832932,2631, 2654.52
14:09:16.933082,2627, 2651.77
14:09:17.033043,2625, 2649.09
14:09:17.132952,2640, 2648.18
14:09:17.233039,2645, 2647.86
14:09:17.333041,2655, 2648.58
14:09:17.432716,2646, 2648.32
14:09:17.532931,2672, 2650.69
14:09:17.632938,2679, 2653.52
14:09:17.733101,2703, 2658.47
14:09:17.832979,2686, 2661.22
14:09:17.932746,2655, 2660.60
14:09:18.032901,2672, 2661.74
14:09:18.132426,2667, 2662.26
14:09:18.232268,2678, 2663.84
14:09:18.332371,2674, 2664.85
14:09:18.432597,2678, 2666.17
14:09:18.532929,2683, 2667.85
14:09:18.632539,2685, 2669.57
14:09:18.732957,2704, 2673.01
14:09:18.832854,2705, 2676.21
14:09:18.933067,2687, 2677.29
14:09:19.032399,2678, 2677.36
14:09:19.132571,2674, 2677.02
