Timestamp,Raw_Value,Filtered_Value
13:37:37.810772,3297, 3291.82
13:37:37.910595,3273, 3289.94
13:37:38.011104,3293, 3290.25
13:37:38.110890,3270, 3288.22
13:37:38.210961,3274, 3286.80
13:37:38.311049,3325, 3290.62
13:37:38.410792,3285, 3290.06
13:37:38.510952,3343, 3295.35
13:37:38.610976,3287, 3294.52
13:37:38.710559,3306, 3295.66
13:37:38.810953,3347, 3300.80
13:37:38.910407,3287, 3299.42
13:37:39.010934,3314, 3300.88
13:37:39.110706,3306, 3301.39
13:37:39.211072,3301, 3301.35
13:37:39.310808,3324, 3303.61
13:37:39.410997,3302, 3303.45
13:37:39.511119,3327, 3305.81
13:37:39.610779,3295, 3304.73
13:37:39.710448,3297, 3303.95
13:37:39.810716,3307, 3304.26
13:37:39.911018,3290, 3302.83
13:37:40.011002,3317, 3304.25
13:37:40.110643,3232, 3297.02
13:37:40.210886,3306, 3297.92
13:37:40.310601,3445, 3312.63
13:37:40.410884,3311, 3312.47
13:37:40.510444,3322, 3313.42
13:37:40.610943,3301, 3312.18
13:37:40.710727,3312, 3312.16
13:37:40.810993,3351, 3316.04
13:37:40.910991,3296, 3314.04
13:37:41.010946,3326, 3315.24
13:37:41.111077,3290, 3312.71
13:37:41.210976,3284, 3309.84
13:37:41.310426,3355, 3314.36
13:37:41.410561,3279, 3310.82
13:37:41.510943,3306, 3310.34
13:37:41.610890,3280, 3307.30
13:37:41.711015,3305, 3307.07
13:37:41.810959,3333, 3309.67
13:37:41.910831,3303, 3309.00
13:37:42.010971,3327, 3310.80
13:37:42.110977,3306, 3310.32
13:37:42.210972,3319, 3311.19
13:37:42.310933,3376, 3317.67
13:37:42.410902,3313, 3317.20
13:37:42.510995,3323, 3317.78
13:37:42.610823,3297, 3315.70
13:37:42.710899,3305, 3314.63
13:37:42.810946,3349, 3318.07
13:37:42.910844,3307, 3316.96
13:37:43.011476,3293, 3314.57
13:37:43.111070,3280, 3311.11
13:37:43.210893,3287, 3308.70
13:37:43.310907,3357, 3313.53
13:37:43.410868,3306, 3312.78
13:37:43.511035,3312, 3312.70
13:37:43.610754,3310, 3312.43
13:37:43.710935,3312, 3312.39
13:37:43.810974,3349, 3316.05
13:37:43.910748,3315, 3315.94
13:37:44.010892,3310, 3315.35
13:37:44.110960,3376, 3321.41
13:37:44.210900,3311, 3320.37
13:37:44.310958,3312, 3319.53
13:37:44.410943,3318, 3319.38
13:37:44.510814,3298, 3317.24
13:37:44.610824,3311, 3316.62
13:37:44.710981,3295, 3314.46
13:37:44.810916,3203, 3303.31
13:37:44.910892,3317, 3304.68
13:37:45.011035,3298, 3304.01
13:37:45.110684,3311, 3304.71
13:37:45.210858,3331, 3307.34
13:37:45.310910,3307, 3307.31
13:37:45.410695,3315, 3308.07
13:37:45.510746,3312, 3308.47
13:37:45.610795,3312, 3308.82
13:37:45.710742,3326, 3310.54
13:37:45.810991,3341, 3313.58
13:37:45.910961,3318, 3314.03
13:37:46.010492,3324, 3315.02
13:37:46.110633,3339, 3317.42
13:37:46.210909,3307, 3316.38
13:37:46.310969,3341, 3318.84
13:37:46.410377,3345, 3321.46
13:37:46.510885,3300, 3319.31
13:37:46.610789,3307, 3318.08
13:37:46.710625,3344, 3320.67
13:37:46.810983,3303, 3318.90
13:37:46.910884,3314, 3318.41
13:37:47.010775,3315, 3318.07
13:37:47.110885,3314, 3317.66
13:37:47.210848,3310, 3316.90
13:37:47.310302,3325, 3317.71
13:37:47.410814,3350, 3320.94
13:37:47.510863,3318, 3320.64
13:37:47.610817,3326, 3321.18
13:37:47.710850,3328, 3321.86
13:37:47.810893,3349, 3324.57
13:37:47.910618,3331, 3325.22
13:37:48.010799,3321, 3324.80
13:37:48.110695,3323, 3324.62
13:37:48.210809,3342, 3326.35
13:37:48.310852,3309, 3324.62
13:37:48.410723,3309, 3323.06
13:37:48.510184,3344, 3325.15
13:37:48.610637,3295, 3322.14
13:37:48.710725,3301, 3320.02
13:37:48.810828,3327, 3320.72
13:37:48.910777,3329, 3321.55
13:37:49.010707,3312, 3320.59
13:37:49.110753,3317, 3320.23
13:37:49.210812,3379, 3326.11
13:37:49.310843,3335, 3327.00
13:37:49.410753,3367, 3331.00
13:37:49.510504,3397, 3337.60
13:37:49.610716,3323, 3336.14
13:37:49.710747,3338, 3336.32
13:37:49.810752,3337, 3336.39
13:37:49.910853,3319, 3334.65
13:37:50.010716,3312, 3332.39
13:37:50.110700,3327, 3331.85
13:37:50.210774,3322, 3330.86
13:37:50.310797,3328, 3330.58
13:37:50.410841,3309, 3328.42
13:37:50.510715,3324, 3327.98
13:37:50.610811,3331, 3328.28
13:37:50.710719,3373, 3332.75
13:37:50.810777,3376, 3337.08
13:37:50.910783,3322, 3335.57
13:37:51.010725,3342, 3336.21
13:37:51.110759,3335, 3336.09
13:37:51.210807,3335, 3335.98
13:37:51.310619,3381, 3340.48
13:37:51.410819,3321, 3338.53
13:37:51.510339,3326, 3337.28
13:37:51.610262,3316, 3335.15
13:37:51.710708,3331, 3334.74
13:37:51.810110,3339, 3335.16
13:37:51.910778,3363, 3337.95
13:37:52.010822,3311, 3335.25
13:37:52.110601,3312, 3332.93
13:37:52.210770,3312, 3330.83
13:37:52.310679,3312, 3328.95
13:37:52.410640,3330, 3329.06
13:37:52.510775,3379, 3334.05
13:37:52.610658,3335, 3334.14
13:37:52.710179,3318, 3332.53
13:37:52.810697,3338, 3333.08
13:37:52.910697,3337, 3333.47
13:37:53.010786,3269, 3327.02
13:37:53.110583,3377, 3332.02
13:37:53.210737,3344, 3333.22
13:37:53.310688,3333, 3333.20
13:37:53.410696,3317, 3331.58
13:37:53.510660,3318, 3330.22
13:37:53.610611,3303, 3327.50
13:37:53.710777,3318, 3326.55
13:37:53.810187,3331, 3326.99
13:37:53.910717,3324, 3326.69
13:37:54.010701,3330, 3327.02
13:37:54.110674,3354, 3329.72
13:37:54.210723,3362, 3332.95
13:37:54.310603,3358, 3335.45
13:37:54.410681,3318, 3333.71
13:37:54.510628,3325, 3332.84
13:37:54.610655,3328, 3332.35
13:37:54.710664,3326, 3331.72
13:37:54.810886,3334, 3331.95
13:37:54.910712,3343, 3333.05
13:37:55.010731,3345, 3334.25
13:37:55.110716,3342, 3335.02
13:37:55.210690,3344, 3335.92
13:37:55.310743,3317, 3334.03
13:37:55.410668,3376, 3338.22
13:37:55.510671,3363, 3340.70
13:37:55.610592,3325, 3339.13
13:37:55.710724,3326, 3337.82
13:37:55.810617,3318, 3335.84
13:37:55.910596,3322, 3334.45
13:37:56.010677,3315, 3332.51
13:37:56.110612,3342, 3333.46
13:37:56.210586,3355, 3335.61
13:37:56.310692,3312, 3333.25
13:37:56.410670,3330, 3332.92
13:37:56.510786,3311, 3330.73
13:37:56.610315,3338, 3331.46
13:37:56.710694,3345, 3332.81
13:37:56.810713,3404, 3339.93
13:37:56.910642,3349, 3340.84
13:37:57.010747,3331, 3339.85
13:37:57.110197,3335, 3339.37
13:37:57.210576,3353, 3340.73
13:37:57.310699,3319, 3338.56
13:37:57.410632,3358, 3340.50
13:37:57.510580,3351, 3341.55
13:37:57.610165,3333, 3340.70
13:37:57.710578,3354, 3342.03
13:37:57.810708,3378, 3345.62
13:37:57.910591,3313, 3342.36
13:37:58.010559,3323, 3340.43
13:37:58.110312,3311, 3337.48
13:37:58.210681,3315, 3335.23
13:37:58.310702,3344, 3336.11
13:37:58.410494,3319, 3334.40
13:37:58.510550,3330, 3333.96
13:37:58.610603,3329, 3333.46
13:37:58.710561,3353, 3335.42
13:37:58.810678,3361, 3337.98
13:37:58.910373,3383, 3342.48
13:37:59.010459,3411, 3349.33
13:37:59.110498,3397, 3354.10
13:37:59.210821,3380, 3356.69
13:37:59.310667,3382, 3359.22
13:37:59.410441,3333, 3356.60
13:37:59.510563,3337, 3354.64
13:37:59.610497,3338, 3352.97
13:37:59.710654,3336, 3351.28
13:37:59.810481,3351, 3351.25
13:37:59.910576,3325, 3348.62
13:38:00.010153,3315, 3345.26
13:38:00.110554,3326, 3343.33
13:38:00.210609,3322, 3341.20
13:38:00.310206,3330, 3340.08
13:38:00.410395,3362, 3342.27
13:38:00.510660,3339, 3341.95
13:38:00.610529,3339, 3341.65
13:38:00.710560,3345, 3341.99
13:38:00.810333,3344, 3342.19
13:38:00.909970,3341, 3342.07
13:38:01.010468,3344, 3342.26
13:38:01.110567,3318, 3339.83
13:38:01.210520,3343, 3340.15
13:38:01.310654,3344, 3340.54
13:38:01.410565,3322, 3338.68
13:38:01.510679,3338, 3338.61
13:38:01.610415,3321, 3336.85
