Timestamp,Raw_Value,Filtered_Value
13:36:50.811222,3195, 3183.43
13:36:50.911497,3191, 3184.19
13:36:51.011465,3217, 3187.47
13:36:51.111304,3200, 3188.72
13:36:51.211494,3185, 3188.35
13:36:51.311707,3184, 3187.91
13:36:51.411226,3181, 3187.22
13:36:51.511519,3177, 3186.20
13:36:51.611334,3166, 3184.18
13:36:51.711817,3222, 3187.96
13:36:51.811771,3197, 3188.87
13:36:51.911785,3165, 3186.48
13:36:52.011106,3161, 3183.93
13:36:52.111549,3153, 3180.84
13:36:52.211457,3153, 3178.05
13:36:52.311512,3136, 3173.85
13:36:52.411804,3186, 3175.06
13:36:52.511701,3153, 3172.86
13:36:52.611222,3132, 3168.77
13:36:52.711629,3136, 3165.49
13:36:52.811650,3136, 3162.54
13:36:52.911592,3183, 3164.59
13:36:53.011724,3130, 3161.13
13:36:53.111788,3125, 3157.52
13:36:53.211519,3169, 3158.67
13:36:53.311684,3209, 3163.70
13:36:53.411682,3153, 3162.63
13:36:53.511695,3149, 3161.27
13:36:53.611222,3167, 3161.84
13:36:53.711709,3170, 3162.66
13:36:53.811728,3165, 3162.89
13:36:53.911441,3170, 3163.60
13:36:54.011741,3214, 3168.64
13:36:54.111676,3216, 3173.38
13:36:54.211756,3190, 3175.04
13:36:54.311671,3207, 3178.23
13:36:54.411654,3191, 3179.51
13:36:54.511677,3198, 3181.36
13:36:54.611714,3210, 3184.22
13:36:54.711674,3197, 3185.50
13:36:54.811729,3247, 3191.65
13:36:54.911685,3234, 3195.89
13:36:55.011771,3229, 3199.20
13:36:55.111198,3211, 3200.38
13:36:55.211560,3209, 3201.24
13:36:55.311617,3211, 3202.22
13:36:55.411572,3202, 3202.19
13:36:55.511737,3219, 3203.87
13:36:55.611658,3238, 3207.29
13:36:55.711602,3200, 3206.56
13:36:55.811742,3189, 3204.80
13:36:55.911684,3184, 3202.72
13:36:56.011686,3182, 3200.65
13:36:56.111750,3185, 3199.08
13:36:56.211702,3205, 3199.68
13:36:56.311686,3172, 3196.91
13:36:56.411595,3177, 3194.92
13:36:56.511684,3163, 3191.73
13:36:56.611755,3159, 3188.45
13:36:56.711614,3150, 3184.61
13:36:56.811662,3203, 3186.45
13:36:56.911117,3162, 3184.00
13:36:57.011589,3184, 3184.00
13:36:57.111679,3194, 3185.00
13:36:57.211571,3199, 3186.40
13:36:57.311652,3199, 3187.66
13:36:57.411730,3230, 3191.89
13:36:57.511615,3246, 3197.31
13:36:57.611694,3223, 3199.87
13:36:57.711487,3213, 3201.19
13:36:57.811669,3217, 3202.77
13:36:57.911603,3280, 3210.49
13:36:58.011679,3215, 3210.94
13:36:58.111588,3248, 3214.65
13:36:58.211378,3267, 3219.88
13:36:58.311683,3262, 3224.09
13:36:58.411570,3253, 3226.99
13:36:58.511601,3242, 3228.49
13:36:58.611828,3232, 3228.84
13:36:58.711033,3235, 3229.45
13:36:58.811649,3297, 3236.21
13:36:58.911108,3232, 3235.79
13:36:59.011473,3219, 3234.11
13:36:59.111503,3227, 3233.40
13:36:59.211561,3230, 3233.06
13:36:59.311544,3217, 3231.45
13:36:59.411236,3211, 3229.41
13:36:59.511622,3261, 3232.57
13:36:59.611607,3222, 3231.51
13:36:59.711119,3214, 3229.76
13:36:59.811574,3198, 3226.58
13:36:59.911507,3211, 3225.02
13:37:00.011512,3200, 3222.52
13:37:00.111501,3239, 3224.17
13:37:00.211667,3221, 3223.85
13:37:00.311099,3189, 3220.37
13:37:00.411670,3186, 3216.93
13:37:00.511597,3187, 3213.94
13:37:00.611632,3184, 3210.94
13:37:00.711607,3246, 3214.45
13:37:00.811349,3236, 3216.60
13:37:00.911667,3216, 3216.54
13:37:01.011509,3210, 3215.89
13:37:01.110965,3216, 3215.90
13:37:01.211618,3218, 3216.11
13:37:01.311457,3265, 3221.00
13:37:01.411565,3147, 3213.60
13:37:01.511461,3234, 3215.64
13:37:01.611589,3231, 3217.18
13:37:01.711610,3234, 3218.86
13:37:01.811726,3248, 3221.77
13:37:01.911035,3238, 3223.39
13:37:02.010985,3248, 3225.85
13:37:02.111354,3279, 3231.17
13:37:02.211440,3267, 3234.75
13:37:02.311420,3203, 3231.58
13:37:02.410981,3236, 3232.02
13:37:02.511264,3242, 3233.02
13:37:02.611590,3255, 3235.22
13:37:02.711495,3236, 3235.29
13:37:02.810952,3229, 3234.66
13:37:02.911521,3237, 3234.90
13:37:03.011064,3233, 3234.71
13:37:03.111528,3211, 3232.34
13:37:03.211580,3226, 3231.70
13:37:03.311596,3239, 3232.43
13:37:03.411478,3201, 3229.29
13:37:03.511699,3206, 3226.96
13:37:03.611559,3344, 3238.66
13:37:03.711576,3203, 3235.10
13:37:03.811429,3198, 3231.39
13:37:03.911570,3226, 3230.85
13:37:04.011105,3209, 3228.66
13:37:04.111597,3206, 3226.40
13:37:04.211501,3211, 3224.86
13:37:04.311543,3234, 3225.77
13:37:04.411354,3232, 3226.39
13:37:04.511564,3216, 3225.36
13:37:04.611507,3226, 3225.42
13:37:04.711598,3253, 3228.18
13:37:04.811109,3233, 3228.66
13:37:04.911515,3229, 3228.69
13:37:05.011224,3230, 3228.82
13:37:05.111475,3266, 3232.54
13:37:05.211554,3244, 3233.69
13:37:05.311523,3220, 3232.32
13:37:05.411370,3274, 3236.49
13:37:05.511597,3254, 3238.24
13:37:05.611469,3248, 3239.21
13:37:05.711572,3279, 3243.19
13:37:05.810858,3265, 3245.37
13:37:05.911028,3247, 3245.54
13:37:06.010885,3247, 3245.68
13:37:06.110947,3262, 3247.31
13:37:06.210945,3243, 3246.88
13:37:06.310951,3231, 3245.29
