Timestamp,Raw_Value,Filtered_Value
13:21:49.926318,2000, 1977.01
13:21:50.026535,1968, 1976.11
13:21:50.126495,2006, 1979.10
13:21:50.226561,1960, 1977.19
13:21:50.326872,1995, 1978.97
13:21:50.426517,1978, 1978.87
13:21:50.526220,1983, 1979.28
13:21:50.626191,1985, 1979.86
13:21:50.726663,1970, 1978.87
13:21:50.826478,1955, 1976.48
13:21:50.926699,1978, 1976.63
13:21:51.026783,2041, 1983.07
13:21:51.126754,2056, 1990.36
13:21:51.226827,2117, 2003.03
13:21:51.326730,2129, 2015.62
13:21:51.426394,2128, 2026.86
13:21:51.526779,2173, 2041.48
13:21:51.626726,2187, 2056.03
13:21:51.726764,2217, 2072.13
13:21:51.826724,2214, 2086.31
13:21:51.926780,2231, 2100.78
13:21:52.026855,2245, 2115.20
13:21:52.126765,2256, 2129.28
13:21:52.226801,2251, 2141.45
13:21:52.326806,2238, 2151.11
13:21:52.426758,2256, 2161.60
13:21:52.526824,2278, 2173.24
13:21:52.626773,2251, 2181.01
13:21:52.726713,2243, 2187.21
13:21:52.826259,2293, 2197.79
13:21:52.926666,2241, 2202.11
13:21:53.026648,2233, 2205.20
13:21:53.126722,2234, 2208.08
13:21:53.226674,2245, 2211.77
13:21:53.326541,2233, 2213.90
13:21:53.426738,2241, 2216.61
13:21:53.526640,2224, 2217.34
13:21:53.626736,2226, 2218.21
13:21:53.726800,2235, 2219.89
13:21:53.826384,2249, 2222.80
13:21:53.926837,2256, 2226.12
13:21:54.026781,2208, 2224.31
13:21:54.126627,2224, 2224.28
13:21:54.226763,2205, 2222.35
13:21:54.326803,2243, 2224.41
13:21:54.426773,2223, 2224.27
13:21:54.526647,2210, 2222.85
13:21:54.626517,2230, 2223.56
13:21:54.726530,2190, 2220.20
13:21:54.826725,2264, 2224.58
13:21:54.926864,2185, 2220.63
13:21:55.026750,2213, 2219.86
13:21:55.126787,2197, 2217.58
13:21:55.226759,2197, 2215.52
13:21:55.326674,2274, 2221.37
13:21:55.426741,2239, 2223.13
13:21:55.526580,2275, 2228.32
13:21:55.626720,2273, 2232.79
13:21:55.726712,2310, 2240.51
13:21:55.826652,2315, 2247.96
13:21:55.926724,2320, 2255.16
13:21:56.026750,2354, 2265.04
13:21:56.126622,2331, 2271.64
13:21:56.226800,2378, 2282.28
13:21:56.326787,2341, 2288.15
13:21:56.426649,2354, 2294.73
13:21:56.526728,2353, 2300.56
13:21:56.626660,2352, 2305.70
13:21:56.726744,2383, 2313.43
13:21:56.826655,2342, 2316.29
13:21:56.926789,2352, 2319.86
13:21:57.026637,2352, 2323.07
13:21:57.126806,2348, 2325.57
13:21:57.226609,2358, 2328.81
13:21:57.326686,2330, 2328.93
13:21:57.426710,2325, 2328.54
13:21:57.526656,2322, 2327.88
13:21:57.626742,2317, 2326.79
13:21:57.726626,2326, 2326.71
13:21:57.826748,2320, 2326.04
13:21:57.926448,2294, 2322.84
13:21:58.026529,2326, 2323.15
13:21:58.126631,2295, 2320.34
13:21:58.226609,2315, 2319.81
13:21:58.326679,2309, 2318.72
13:21:58.426551,2279, 2314.75
13:21:58.526785,2288, 2312.08
13:21:58.626610,2286, 2309.47
13:21:58.726207,2303, 2308.82
13:21:58.826196,2291, 2307.04
13:21:58.926076,2282, 2304.54
13:21:59.026624,2299, 2303.98
13:21:59.126096,2266, 2300.18
13:21:59.226587,2320, 2302.17
13:21:59.326854,2290, 2300.95
13:21:59.426353,2323, 2303.15
13:21:59.526723,2352, 2308.04
13:21:59.626612,2353, 2312.53
13:21:59.726089,2423, 2323.58
13:21:59.826672,2368, 2328.02
13:21:59.926419,2412, 2336.42
13:22:00.026131,2423, 2345.08
13:22:00.126624,2413, 2351.87
13:22:00.226578,2426, 2359.28
13:22:00.326716,2425, 2365.86
13:22:00.426516,2449, 2374.17
13:22:00.526598,2448, 2381.55
13:22:00.626278,2448, 2388.20
13:22:00.726552,2455, 2394.88
13:22:00.826716,2478, 2403.19
13:22:00.926652,2449, 2407.77
13:22:01.026626,2439, 2410.89
13:22:01.126597,2493, 2419.10
13:22:01.226537,2448, 2421.99
13:22:01.326603,2446, 2424.39
13:22:01.426641,2480, 2429.95
13:22:01.526615,2433, 2430.26
13:22:01.626679,2432, 2430.43
13:22:01.726539,2431, 2430.49
13:22:01.826664,2434, 2430.84
13:22:01.926721,2438, 2431.56
13:22:02.026336,2432, 2431.60
13:22:02.126488,2418, 2430.24
13:22:02.225944,2459, 2433.12
13:22:02.326019,2419, 2431.70
13:22:02.425918,2411, 2429.63
13:22:02.526025,2413, 2427.97
13:22:02.626041,2377, 2422.87
13:22:02.725940,2402, 2420.79
13:22:02.826047,2384, 2417.11
13:22:02.925922,2426, 2418.00
13:22:03.025971,2429, 2419.10
13:22:03.126023,2384, 2415.59
13:22:03.225918,2387, 2412.73
13:22:03.325968,2397, 2411.16
13:22:03.426026,2384, 2408.44
13:22:03.525923,2362, 2403.80
13:22:03.626170,2382, 2401.62
13:22:03.726272,2365, 2397.95
13:22:03.826001,2373, 2395.46
